label	direction	trial	expected_sha256	observed_sha256	verdict
S16	upload	1	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	pass
S16	download	1	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	pass
S16	upload	2	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	pass
S16	download	2	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	pass
S16	upload	3	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	pass
S16	download	3	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	17501ae082f6c985a641b3ae8468669db0f8cb857b80857ed4f4139b672793dc	pass
S256	upload	1	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	pass
S256	download	1	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	pass
S256	upload	2	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	pass
S256	download	2	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	pass
S256	upload	3	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	pass
S256	download	3	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	pass
S1024	upload	1	0d5ba04bbc6e4d35cbbacd5082b40d167bb3777ea29ea62c1f3f3b974714b798	0d5ba04bbc6e4d35cbbacd5082b40d167bb3777ea29ea62c1f3f3b974714b798	pass
S1024	download	1	0d5ba04bbc6e4d35cbbacd5082b40d167bb3777ea29ea62c1f3f3b974714b798	0d5ba04bbc6e4d35cbbacd5082b40d167bb3777ea29ea62c1f3f3b974714b798	pass
F1024	upload	1	manifest	manifest	pass
F1024	download	1	manifest	manifest	pass
TAR	upload	1	82b3daf5dc024917a74d2005f9706a0994ea7755f753f0befcd9d41d3f9c8296	82b3daf5dc024917a74d2005f9706a0994ea7755f753f0befcd9d41d3f9c8296	pass
TAR	download	1	82b3daf5dc024917a74d2005f9706a0994ea7755f753f0befcd9d41d3f9c8296	82b3daf5dc024917a74d2005f9706a0994ea7755f753f0befcd9d41d3f9c8296	pass
CR64	upload	1	4009d5fbf2e169e335166dcb792e17b2a4103c89a1113e58e8a3722fcde2eadf	4009d5fbf2e169e335166dcb792e17b2a4103c89a1113e58e8a3722fcde2eadf	pass
CR64	download	1	4009d5fbf2e169e335166dcb792e17b2a4103c89a1113e58e8a3722fcde2eadf	4009d5fbf2e169e335166dcb792e17b2a4103c89a1113e58e8a3722fcde2eadf	pass
CR64	upload	1	4009d5fbf2e169e335166dcb792e17b2a4103c89a1113e58e8a3722fcde2eadf	4009d5fbf2e169e335166dcb792e17b2a4103c89a1113e58e8a3722fcde2eadf	pass
CR64	download	1	4009d5fbf2e169e335166dcb792e17b2a4103c89a1113e58e8a3722fcde2eadf	4009d5fbf2e169e335166dcb792e17b2a4103c89a1113e58e8a3722fcde2eadf	pass
CZ64	upload	1	3b6a07d0d404fab4e23b6d34bc6696a6a312dd92821332385e5af7c01c421351	3b6a07d0d404fab4e23b6d34bc6696a6a312dd92821332385e5af7c01c421351	pass
CZ64	download	1	3b6a07d0d404fab4e23b6d34bc6696a6a312dd92821332385e5af7c01c421351	3b6a07d0d404fab4e23b6d34bc6696a6a312dd92821332385e5af7c01c421351	pass
CZ64	upload	1	3b6a07d0d404fab4e23b6d34bc6696a6a312dd92821332385e5af7c01c421351	3b6a07d0d404fab4e23b6d34bc6696a6a312dd92821332385e5af7c01c421351	pass
CZ64	download	1	3b6a07d0d404fab4e23b6d34bc6696a6a312dd92821332385e5af7c01c421351	3b6a07d0d404fab4e23b6d34bc6696a6a312dd92821332385e5af7c01c421351	pass
R256	resume	1	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	8537cd4be0986866a9e56b83c5ebda6ab8c39c6b383a2ea6d5c7d044a2ce9d7a	pass
